DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,ENTER_PUBLIC,LEAVE_PUBLIC,NET_INDEPENDENT,FORECAST_ENROLMENT
74,2016,1111.1,27.9,-19,9,1107
74,2017,1107,37,-11,26,1109
74,2018,1108.8,14,-26.9,-13,1090
75,2013,5836.6,56,-64.6,-9,5764
75,2014,5764.3,44.5,-55.9,-11,5639
75,2015,5639.4,45.6,-52.6,-7,5761
75,2016,5761,34.1,-44.5,-10,5930
75,2017,5930.4,67.5,-42.3,25,6058
75,2018,6057.8,71.4,-42.6,29,6073
78,2013,1682.5,13.6,-39.1,-25,1638
78,2014,1638.4,28,-44,-16,1573
78,2015,1572.9,56.3,-23,33,1644
78,2016,1643.8,30,-36,-6,1684
78,2017,1684,22.5,-18,5,1662
78,2018,1661.8,44.5,-17,28,1738
79,2013,7706.5,118,-151.5,-34,7407
79,2014,7406.8,120.9,-190,-69,7263
79,2015,7262.8,153.6,-119.9,34,7397
79,2016,7397.4,165.6,-133.3,32,7583
79,2017,7583.1,156.3,-115.3,41,7790
79,2018,7789.6,202.6,-138.8,64,8060
81,2013,868.6,9,-14,-5,808
81,2014,807.6,13.1,-18.9,-6,757
81,2015,757.1,27.1,-12,15,769
81,2016,768.6,32.3,-10,22,728
81,2017,727.6,13,-7.3,6,721
81,2018,720.8,11,-19.4,-8,684
82,2013,4823.5,105,-51,54,4697
82,2014,4696.6,56.4,-84.3,-28,4470
82,2015,4469.9,100.6,-54.3,46,4289
82,2016,4288.9,84.5,-73,12,4128
82,2017,4128.1,134.4,-45.9,89,4109
82,2018,4108.9,110.5,-56,55,4102
83,2013,6102.8,50.4,-61.6,-11,6019
83,2014,6019.1,68.4,-91.4,-23,5866
83,2015,5866.1,77.1,-72,5,5950
83,2016,5950.2,73.5,-69,4,6057
83,2017,6056.5,63.1,-55,8,6167
83,2018,6167,62.3,-61,1,6364
84,2013,410.9,8,-3,5,403
84,2014,403.3,2,-8,-6,389
84,2015,388.6,2.5,-2,1,366
84,2016,365.8,4,-4.5,-1,414
84,2017,413.9,2,-4,-2,417
84,2018,416.5,2,-3,-1,464
85,2013,1378.6,49.4,-21,28,1372
85,2014,1372.2,52.5,-29.1,23,1333
85,2015,1332.8,56,-26.1,30,1326
85,2016,1326.1,46.1,-15.1,31,1360
85,2017,1359.9,55,-25,30,1354
85,2018,1354.3,49.5,-19,31,1372
87,2013,198,5,-1,4,199
87,2014,198.9,10,-4,6,184
87,2015,184.1,6,-3,3,191
87,2016,191.1,4,-1,3,180
87,2017,180.3,9,-3,6,189
87,2018,188.6,2,-8,-6,145
91,2013,3929.6,69.3,-59.8,10,4012
91,2014,4011.5,61.1,-64.1,-3,3829
91,2015,3829,81.6,-58.9,23,3752
91,2016,3752.3,73.4,-31.6,42,3719
91,2017,3719.3,44.4,-37.8,7,3586
91,2018,3585.5,56.3,-83.9,-28,3556
92,2013,383.9,0,-4,-4,390
92,2014,390.4,3,-4,-1,421
92,2015,420.8,5,-4,1,375
92,2016,374.5,2,0,2,384
92,2017,383.6,2,0,2,387
92,2018,386.8,2,-1,1,374
93,2013,4758.3,23,-39,-16,5084
93,2014,5084,28,-68.4,-40,5373
93,2015,5373.3,28,-58.8,-31,5556
93,2016,5556.4,27,-55.3,-28,5705
93,2017,5704.6,31.1,-73.9,-43,5970
93,2018,5970.3,41.9,-74.1,-32,6118
